channelId,categoryTranslated,channelName,description,viewCount,subscriberCount,videoCount,publishedAt,language,country
UCG7AaCh_CiG6pq_rRDNw72A,Leute & Blogs,Napalm Records,"Over twenty years ago, a story of success began in the Austrian town of Eisenerz. What started out as a one-person operation in a cramped living-room, became one of the biggest record labels of the independent scene. Fans of the heavier genres have long come to know the name ""Napalm Records"". As of today, Napalm has released more than 600 albums – many of which have reached cult status. 


Napalm Records Handels GmbH
Hammerplatz 2
8790 Eisenerz, Austria
Fax: +43 3848 8117 4
E-mail address: order@napalmrecords.com
Managing Directors: Markus Riedler, Thomas Caser",535079320,869362,1437,2006-11-20 12:32:27,en,NULL
UC9VCyVOqou6wf-BMBYlEkjQ,Praktische Tipps & Styling,Kim Lianne,"BUSINESS-EMAILS an:
office( @ )kimlianne.com



Hallo du! :)
Ich bin Kim Lianne und vom Leben, Reisen, Mode, Tieren, Kosmetik, Essen und all den anderen Dingen, die unseren Alltag zu etwas besonderem machen, begeistert! :)

Auf diesem Kanal teile ich all meine Gedanken und Entdeckungen mit dir und der Welt - ich hoffe wir haben hier ganz viel Spaß zusammen.

----

Besuche mich auch gerne auf meinen anderen Plattformen:

SHOPPE meine SCHMUCK-COLLECTION in unserem ONLINE-SHOP: http://www.itscult.com

Meine FOTOS auf INSTAGRAM: @KimLianne

ALLTAGSVIDEOS auf SNAPCHAT: itsKimLianne

CHATTEN auf FACEBOOK: https://www.facebook.com/kimlianne

PLAUDERN auf TWITTER: https://twitter.com/ItsKimLianne

----

Kim Lianne ist Teilnehmer des Partnerprogramms von Amazon EU, das zur Bereitstellung eines Mediums für Websites konzipiert wurde, mittels dessen durch die Platzierung von Werbeanzeigen und Links zu Amazon.de Werbekostenerstattung verdient werden kann.",136074886,855165,434,2010-12-22 20:08:53,de,NULL
UCoxMdVbjc-Y5-ZJp_pHTb2A,Spiele,TwoEpicBuddies,"Hey Leute,

wir sind die TwoEpicBuddies - also Beni und Haubna. 
Hier findest du alles rund um CALL OF DUTY und REACTS.

Aber auch Real Life Videos, GTA, Battlefield und sonstige Games gibt es auf unserem Channel. 
Guck doch auch mal auf unserem 2. Kanal ""DieBuddiesZocken"" vorbei: http://www.youtube.com/user/DieBuddiesZocken
___________________________

JEDEN ZWEITEN TAG EIN NEUES VIDEO!
___________________________

Also, wenn ihr Bock drauf habt ► ABONNIEREN und Viel Spaß! 

► Unser Teamspeak:
twoepicbuddies.de",179188946,683157,1797,2012-10-24 10:53:39,de,AT
UCS4LBgyn1WLSojiQI4aPjtg,Bildung,Survival Lilly,"Hi, my name is Lilly! I am a survivalist from Austria and I like to share my experiences with like minded people.

On this youtube channel you will find instructional survival videos about:
1. Wilderness Survival (both primitive and modern)
2. Long-Term Survival 
3. Urban Survival

VIDEO SPONSORSHIP
I also offer video sponsorship for survival gear. If you are interested in sponsoring a video please contact me on my email address. 

My e-mail address is for business inquiries only. Private messages will NOT get answered!

Second Channel
https://www.youtube.com/channel/UCF5rEt0KErcP4nyajN8ZbIQ

Lilly on social media
Patreon ► https://www.patreon.com/Survivallilly
Facebook ► https://www.facebook.com/pages/Survival-Lilly/810953952332026
Instagram ► https://instagram.com/survival_lilly/
Twitter ► https://twitter.com/survivallilly

I receive a small commission if you buy products over my affiliate links.",89604137,675833,311,2011-01-14 19:49:57,en,AT
UCn5C6P1rxY6PEU6xUKapbCQ,Praktische Tipps & Styling,COOPH,"COOPH videos showcase awesome DIY photography tutorials explaining tips, tricks and hacks. Every second contains pure undiluted photography inspiration.    

---

Welcome to COOPH, the Cooperative of Photography.

COOPH is a community-focused online mag about photography, and celebrates individualism, expression and sincerity. In this modern era of photographic opportunity, we are about recognizing and promoting outstanding visions from within the community and endeavor to support photographers in breaking creative boundaries. COOPH believes photography is a vehicle for documentation and expression, especially when interacting with our environment and interpreting life around us.",49653500,671126,70,2013-06-26 13:20:03,en,NULL
UCjXt6co1pkPxBRY2FkH2YwQ,Unterhaltung,Damestream Records,"Damestream Records wurde am 01.11.2012 gegründet und ist offiziell als eigenständiges Label in Österreich und Deutschland registriert. Das Label beabsichtigt vor allem Künstler aus dem Hip-Hop-Bereich zu vertreten und legt dabei einen hohen Wert auf Authentizität und Persönlichkeit. 

Damestream Records was established on 01.11.2012 and is officially registered as an independent label in Austria and Germany. The label intends artists mostly from the hip-hop field to represent, and places a high value on authenticity and personality.

Damestream Records Indipendent Rap Label Austria/Germany",217865540,663815,106,2011-05-11 16:15:42,de,NULL
UCtwSCDjbQKShJU0kIzBgTdA,Musik,SOUNTEC,"Sountec is an EDM DJ and Producer
On this Channel he shows unique Music Live Performances with different DJ controllers. 

contact: djsountec@gmail.com
booking: booking@stardome.co",60775209,489011,65,2014-06-28 19:15:08,en,AT
UCX2MqAEb-7gO9GKO0SdZSIg,Film und Animation,FrediSaalAnimations,"Minecraft Original Music Videos, Minecraft Animations, Funny Minecraft Parodies. Maker of Supernatural Mobs, Fun In Minecraft, Legendary Griefer & many more famous Music Parodies!

🔹Get your Minecraft Server today with Fallout-Hosting only $1/GB!: http://fallout-hosting.com/
🔹You can meet me on my Server: play.fredisaal.com

🔹MY EQUIPMENT
My Gaming & Animation Mouse:
➡️USA: https://amzn.to/2Ikl53f
➡️DEUTSCHLAND/ÖSTERREICH: https://amzn.to/2rEBE3F
MY RENDER-LAPTOP (Also For Gaming!)
➡️USA: https://amzn.to/2rFRP0i
➡️DEUTSCHLAND/ÖSTERREICH: https://amzn.to/2InHRXN
MY HEADSET (QUALITY AUDIO)
➡️USA: https://amzn.to/2InWcDX
➡️DEUTSCHLAND/ÖSTERREICH: https://amzn.to/2GduLKR
💡❗️DID YOU KNOW?❗️ Every time you buy ANYTHING on Amazon by clicking on one of my affiliate links, you are supporting my channel! No matter what you buy once you clicked on the link (Pls click these whenever you go shopping)💡

For Business Inquiries or anything else feel free to contact me: fredisaal16@gmail.com",81908897,475315,73,2013-02-18 22:36:06,en,AT
UC-4mrFsNtHeYnu9_cSPzylQ,Spiele,VeniCraft,"Hey Leute!

Mein Name ist VeniCraft, oder auch Veni. Ich heiße im echten Leben Rafael, bin 18 Jahre jung und wohne in Österreich! Ich hoffe ihr habt eine Menge Spaß mit meinen Videos ;)

Was euch auf meinem Kanal erwartet?

• Minecraft PvP & Minigames
• Minecraft Projekte (Megaprojekt, Varo, Legend, MARC, uvm..)
• Diverse AAA Titel wie zB.: Far Cry
• und vieles mehr...

►Mein System:
• Grafikkarte: http://amzn.to/1GFpnKM
• Prozessor: http://amzn.to/1xPsGcf
• RAM: http://amzn.to/1RyNOBo
• Mainboard: http://amzn.to/1MXMGku
• Festplatte Nr. 1: http://amzn.to/1MXN0zD
• Festplatte Nr. 2&3: http://amzn.to/1POetbE
• SSD: http://amzn.to/1PjnjLD
• Kühlung: http://amzn.to/1PT
• Tastatur: http://amzn.to/1803pr0
• Maus: http://amzn.to/15pOTI9
• Webcam: http://amzn.to/1CvwinS
• Mikrofon: http://amzn.to/15pOMfy
• Headset: http://amzn.to/1CgVWeK

Weiter unten findet ihr Links zu meinen sozialen Netzwerken und sonstigem Krams.

Ich hoffe euch gefällt was ihr seht :)",105227865,455770,2188,2011-11-28 19:48:49,de,AT
UC_tx9mCedUqbU_Ci7yotcDQ,Unterhaltung,JANAklar,"MEINE KANÄLE IM ÜBERBLICK:

JANAklar: https://goo.gl/4ZG5fK
Instagram: http://instagram.com/janaklar/
Twitter: https://twitter.com/_JANAklar_

JANAund (Ich hinter den Videos): 
Youtube: https://goo.gl/kc5h8v

JANAlecker (veganer Kochkanal): 
Youtube: https://goo.gl/3fgavg
Instagram: https://www.instagram.com/janalecker/

——————————————————————————————————
BUSINESS ANFRAGEN:
janaklarbusiness@outlook.at

PAYPAL: 
https://www.paypal.me/janaklar

——————————————————————————————————
WER BIN ICH?

Name: Jana 
Geboren am: 04.07.1995
Wohnort: Österreich/ Wien 
Geschwister: Ja, einen großen Bruder
Ernährungsform: Seit 1.1.2017 vegan (Davor 2 Jahre vegetarisch)
GO VEGAN BITCHES :D!!!!
Videotage: Zwischen Montag und Sonntag :D

——————————————————————————————————
IMPRESSUM: 

Jana Kaspar
p/a Wagnerstrasse 14
4523 Neuzeug",67464521,438538,350,2014-10-22 14:21:13,de,AT
UCPsV7o0y_il6tF5vhl8fhTQ,Spiele,Luigikid Gaming,"What's going on my dedicated bros? It's-a-me, Luigikid, and welcome to the Plumberhood!
On my channel you'll find content such as .EXE games, Let's Plays on Nintendo Games, React Videos and other amazing stuff!
Subscribe today and stay MLG!

Daily new videos at 4PM EST/9PM GMT!

P..O. Box:
Rene Wurz 
Postfach 0009 
1108 Wien (Vienna) 
Austria

Life is not a game. It's many games!",152614891,435692,1672,2007-07-31 22:02:38,en,AT
UCdYTLWhP29mJfgtxcs5i92w,Unterhaltung,MythenAkte,"Wenn du dich für Horror, Geister, Aliens, UFOs, Fabelwesen oder sonstige gruselige, mysteriöse oder unheimliche Dinge interessierst, dann bist du auf meinem Kanal MythenAkte genau richtig. 

Klicke auf Abonnieren um keine gruseligen  Videos mehr zu verpassen!

___________________________________________________________________

Folgt mir auf den Social Media Portalen für mehr Infos:
➨ Youtube: http://www.youtube.com/MythenAkte
➨ Facebook: http://www.facebook.com/MythenAkte
➨ Twitter: http://www.twitter.com/MythenAkte
➨ Instagram: http://www.instagram.com/MythenAkte
➨ Snapchat: realMythenAkte
➨ Google+: http://www.google.com/+MythenAkte
___________________________________________________________________

Einige Bilder & Videos, die in den Videos verwendet werden, sind nicht mein Eigentum! 
Diese unterliegen dem Creative Commons
http://creativecommons.org/licenses/

Impressum:
MythenAkte
z.H. GPS TREUHAND WTH GMBH
Floesserstraße 12
4609 Thalheim bei Wels",79724637,429494,519,2012-08-31 16:48:57,de,AT
UCTeTkUjjdRO4TA14GTRAUhg,Praktische Tipps & Styling,Anastacia Kay,"Hey! Я - Настя, мне 31, я беларуска, но я выросла в разных странах Европы (поэтому русские слова не всегда мне приходят на ум первыми :). 8 лет я работала в консалтинге и банкинге, а год назад решила стать ученым, изучающим мозг! Сейчас я учусь на магистратуре когнитивистики (наука о мозге) в Вене, и делюсь захватывающими знаниями о том, как работает наша голова, со всеми, кому это интересно, здесь :) 

Не хотите пропускать новые видео и терять их в ленте? Подписаться на почтовую рассылку о выходе новых видео можно тут 🢂 subscribe.anastaciakay.com

🌐 AnastaciaKay.com
📸 instagram.com/funastacia

---

Hey there! I'm Anastacia, an ex-management consultant and future cognitive scientist! I mostly film videos on brain science, study skills, and organization skills! English subtitles for all videos are coming soon!

---

500 ‣ 15.9.14
1k ‣ 8.10.14 
2k ‣ 2.12.14
5k ‣ 17.1.15 
10k ‣ 10.3.15 
20k ‣ 11.6.15 
50k ‣ 14.10.15 
100k ‣ 21.2.16 
200k ‣ 10.12.16
300k ‣ 30.08.17",32115014,406702,323,2013-08-15 10:33:54,ru,AT
UCK09g6gYGMvU-0x1VCF1hgA,Bildung,Military History Visualized,"This channel features Military History ranging from Classical Times up to contemporary conflicts. The focus is to keep it short, visual, analytical and entertaining. 

Since around June 2016 almost every video uses mainly academic books as sources, if possible. The sources are always provided in the description. 

“A good speech should be like a woman's skirt; long enough to cover the subject and short enough to create interest.” - Winston Churchill 

FAQ: http://militaryhistoryvisualized.com/faq/

»» Educational Background ««
Master of Arts in History from the University of Salzburg (Austria)
Bachelor and Master of Science in Computer Science from the University of Salzburg (Austria)
Internship at the Military Research Institute (Militärgeschichtliches Forschungsamt) in Potsdam (Germany)",33673119,358271,251,2016-01-05 09:14:31,en,AT
UCMW0kSYo44uRxvE21JqEWTQ,Unterhaltung,Piere Paukovitsch,"Piere Paukovitsch
----------------
YouTuber aus Wien, Österreich
Vlogs, Pranks und alles was mir Spaß macht :D

Instagram  https://www.instagram.com/pierepaukovitsch/",56427684,337840,120,2013-08-18 02:08:34,de,AT
UCuk26DMu7ewAkC-ntx7esiA,Unterhaltung,AustrianLegoFan,"Hello everyone, i am an Adult Fan of Lego and on my channel you will find family and kid friendly Videos all about Lego and sometimes other brick based Toy Lines as Mega Bloks or equal...
Mainly i do Speed Builds of new and old Lego Sets.
Please don´t forget to subscribe, like and share.....",202751672,332355,2053,2012-08-06 11:18:18,en,AT
UCtT2VnurQKOAA0I1EKKHSPA,Wissenschaft & Technik,TechMagnet,"TechMagnet is about Technology, Science and how everything else in this world works.  We are here to tell you the Truth about Tech in all its facets.

Techmagnet starting doing  Quality Tech Videos in 2015. We are passionated about industry storytelling and how everything in the world works. Besides that we love cars, motorbikes and Gadgets.

Want to send us stuff ? Send it to:

Techmagnet
Karl Lothringer Strasse 47
1210 Vienna
Austria

There will be a haul video every month where we unbox the stuff.",96052389,320492,865,2012-11-26 13:17:44,en,AT
UCpeSv0N9tbe2V5fLMVrlodA,Unterhaltung,Lingualizer,"WELCOME, LINGIS!

I'm Lingualizer (real name Peter, preferably Pete :D) and I love you :3

-) I'm fluent/very advanced (C2) in: Bulgarian (mother tongue), German and English.
-) I'm intermediate (B1) in: French, Spanish, Serbian(/Croatian/Bosnian).
-) I'm pre-intermediate (A2) in: Russian.

FAQ: 
1. I don't speak all of the languages in which I translate. Only the ones above.
2. International friends, different websites, Google & my own knowledge help me translate everything.
3. I live in Vienna, Austria.
4. My parents are from Bulgaria - I feel Bulgarian and I can speak, read and write Bulgarian.
5. I try to include as many languages as possible in my videos! Sorry if I leave yours out from time to time!
6. Sorry, in case some translations are inaccurate! I don't mean it!
7. I might open other channels in the future, where I stick to German and/or Bulgarian! Not sure when though.

For promotional/advertising inquiries: feel free to contact me via email (solve the captcha below)!",42417977,310350,138,2009-06-13 17:36:17,en,AT
UCJQXmT0GmepGynjFJmRcTaA,Unterhaltung,yankoomusic,Official Yankoo Music Channel,346183803,298290,63,2010-08-12 08:13:15,bs,NULL
UCsef3dTqSfHJoGgAbApNTCA,Unterhaltung,HasnisWorld,"Hallo Freunde,  Willkommen auf meinem Kanal! Mein Name ist Hasni bekannt auch als HasnisWorld Schon damals habe ich auf Facebook Comedy-Videos gemacht, wo es aber einfach langweilig geworden ist Jetzt habe ich mich aber entschlossen mit YouTube anzufangen, alles Professioneller zu gestalten und meine Leidenschaft wieder den Videos zu widmen.  Ich hoffe ich werde euch über die Jahre gut unterhalten und euch als Follower meiner Community gewinnen!  Gerne könnt ihr mir auch in den Kommentaren Ideen für neue Videos da lassen! Viel spaß auf meinem Kanal! Hasni ☺❤

Abonnieren ist Kostenlos..
Meine Aktiven Netzwerke👇🏻

Instagram: Hasnisworld
Snapchat: Hasnitv",40219741,287866,89,2013-02-21 20:34:40,de,AT
UC6n_2v7YjwZ65F9h77nZPOA,Spiele,Lichtle,,36251703,284413,221,2014-07-12 17:16:51,de,AT
UCVtnG15ufdzur71RqfqNSOg,Musik,Parov Stelar,"Record Label: Etage Noir Recordings

Parov Stelar, is an Austrian musician, producer and DJ.  Parov Stelar is the head of Etage Noir Recordings and Etage Noir Bookings.

His first release for Etage Noir Recordings, the EP Kiss Kiss and the release soon after, the LP Rough Cuts in 2004, provided him an immediate breakthrough in the international electronic music scene. His specific approach to music production, combined with a proven sense of sound aesthetics, led to a massive reaction from audiences and colleagues all around the world, giving him the reputation as the founder of a new genre: Electro Swing. From then onwards, everything moved very fast and Parov Stelar became famous not only for Electro Swing, but also sampling on the highest level and the combination of different music styles into something new.

For more info please check out www.parovstelar.com or www.facebook.com/parovstelar",173878655,271661,171,2009-07-07 11:56:56,en,AT
UCcx8tBcsSj9Y23hst7Fclcw,Praktische Tipps & Styling,annalaurakummer,"Hallo meine Lieben! Ich bin eine österreichische YouTuberin namens Anna-Laura Kummer. 

Da ihr auf ""über uns"" geklickt hab, denke ich, dass ihr ein bisschen was über mich erfahren wollt. 

----------

♡ Hier habt ihr ein paar Infos über mich: 

Mein Name: Anna-Laura Kummer
Geburtsdatum: 18.05.1996
Sprachen die ich spreche: Deutsch, Englisch und Spanisch
Geschwisteranzahl: 5 
Ich komme aus: der Nähe von Wien 

----------

♡ Weitere Infos findet ihr auf meiner Facebook Seite und in den Infoboxen meiner Videos. 

Bye! :)",38587731,267889,438,2011-04-25 15:27:51,de,AT
UCb3-KtEqkRuJeT2ekC5Mzow,Autos,KTM Sportmotorcycle GmbH,"With KTM you’re READY TO RACE! 

Dive into the world of KTM and experience our pure racing focus.  Our success in racing is reflected in the uncompromising design & function that defines the KTM off-road motorcycle just as much as the KTM street bike. Our commitment to living the racing life to the extreme & building the best motorcycle is second to none. Whether out on your street bike or off-road motorcycle, every ride on your KTM is a racing adventure waiting to be experienced!

Subscribe to the official KTM YouTube channel if racing is what makes your world turn! You’ll find the best of off-road motocross, street bike racing & pure motorcycle performance.",45901525,255170,545,2005-12-20 19:42:40,en,NULL
UCX_p0AI4d5Q6ZufOTKMnQlg,Spiele,Spieletrend,"Bei Spieletrend gibt es Videos zu Pokémon GO, kostenlosen MMORPGs, Browsergames und weiteren Onlinespielen. Alle Games, die einen Spieler im Trend interessieren! Pokémon GO, Shakes & Fidget, MMORPG Let's Plays und mehr - auf Deutsch.",98638246,244588,5115,2011-12-20 10:35:29,de,NULL
UCrVsCGkgj5Yz6d5l7etndkg,Leute & Blogs,Lisa-Marie Schiffner,"H e y  L e u t e   ❀

Ich heiße Lisa-Marie , bin 16 Jahre jung , lebe in Österreich . ❤
Auf meinem Kanal geht es rund um Beauty , Fashion , Lifestyle, Travel & Entertainment . 

 It's not a hobby. It is passion. 


Wenn du gerne Teil meiner Community / Family werden möchtest, würde ich mich mega freuen wenn du meinen Kanal abonnierst um nichts mehr zu verpassen. ❤

 eure Lisa-Marie xoxo

5.000 Abonnenten - 24. Jänner 2015
10.000 Abonnenten - 26. April 2015
20.000 Abonnenten - 9. Dezember 2015
50.000 Abonnenten - 21. Juli  2016
60.000 Abonnenten - 9. August 2016
80.000 Abonnenten - 18.August 2016
100.000 Abonnenten - 13.Januar 2017
200.000 Abonnenten - 7.Mai 2018
Management:

Trismile GmbH
Mario Schmidt
Friedrichstraße 191
10117 Berlin
schmidt@trismile.de",11554680,242170,44,2014-03-02 20:57:59,de,NULL
UC40NAZxgMq4I8kF33nOn2Yg,Tiere,Anita Girlietainment,"Hallöchen! 
Ich bin Anita vom Channel Anita Girlietainment & hier gibts alles Pferdige über mich :) Egal ob ein FMA, DIY oder sonstige Späße, ich nehm dich mit  :)
♥ Anita

♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥

FAQ:

Meine Pferde: 
Escada - Haflingerstute
Rubinesca - Bayrisches WB/Oldenburgerstute
Rubjen - Oldenburgerwallach(selbstgezogen) 
Rubielle - Oldenburgerstute (selbstgezogen)

Land: Österreich

INSTAGRAM: https://www.instagram.com/anita_girlietainment_official/
FACEBOOK: https://www.facebook.com/AnitaGirlietainment/
SNAPCHAT: https://www.snapchat.com/add/girlietainment
VLOG KANAL: https://www.youtube.com/channel/UC359wleIfcwqYlckk9vexiA
SHOP: http://www.anitagirlietainment-shop.de
MEIN TRAININGSBUCH: http://amzn.to/2fiDO2U
MEIN TRAININGSBUCH S/W: http://amzn.to/2ffbRWz
MEINE SCHABRACKEN:  https://www.reitsport-klawunde.de

Für Post:
Anita Girlietainment
Daumegasse 1
A-1100 Wien
Österreich",61050542,241195,313,2015-05-03 12:04:38,de,AT
UClWbF43EZbJBKK9blyB7tig,Praktische Tipps & Styling,nadelspiel * Stricken & Häkeln mit eliZZZa,"Stricken & Häkeln mit eliZZZa
Was Du schon immer über A wie Ajourmuster bis Z wie Zopfen lernen wolltest!

Neue Videos jeden Freitag, Samstag, Sonntag 19 Uhr

-----------------------------------------------

Als ""Schäfin"" einer rasant wachsenden Herde an Strick- und Häkelbegeisterten, bringe ich Dir auf YouTube das Einmaleins des Strickens & Häkelns näher. Von A wie Anschlagen bis Z wie Zusammenstricken zeige ich Dir Schritt-für-Schritt wie Du Nadel und Garn bändigst. Deine Werke kannst Du in unserem Club, in unseren facebook-Gruppen oder in unserem Pin präsentieren (Links darunter).

* Wenn Du zu einem Thema ein Video wünscht, kannst Du es ""bestellen""
* Wenn Du Fragen an eliZZZa hast, schreibe sie in einen Kommentar
* Wenn Du kein Video versäumen möchtest, abonniere doch meinen Kanal

Auf http://www.nadelspiel.com/ findest Du viele kostenlose Strick- und Häkelanleitungen, Tipps & Tricks und Neues aus der Welt der Handarbeiten...

Bis bald,
Deine eliZZZa",117644476,238152,1485,2006-10-27 22:42:54,de,NULL
UCU1scWF4_I3SgoO9px3K-1g,Leute & Blogs,Tina Neumann,"HALLO :D

Ich heiße Tina, habe am 11. März Geburtstag und bin 16 Jahre alt. 
Ich lebe in Österreich, in der Nähe von Graz.
Ich liebe es Musical.lys zu machen, Youtubevideos zu drehen und 
EUCH ZU UNTERHALTEN!

Vielleicht gefällt euch mein Kanal: Lasst einen Daumen da, oder 
abonniert mich um immer neue Dinge von mir zu sehen :) 

Für Video-Ideen bin ich immer offen!
Eure Tina

So findest du mich:

musical.ly ✿ tinaneumann
Instagram ✿ https://instagram.com/tinaneumann
Twitter ✿ https://twitter.com/tinaneumann_
Ask ✿ http://ask.fm/neumanntina
Facebook ✿ https://www.facebook.com/tinaneumannx
Snapchat ✿ tinaneumann1


Autogrammadresse:

Trismile GmbH
c/o TinaNeumann
Friedrichstraße 191
10117 Berlin

Management:

Trismile GmbH
Mario Schmidt
Friedrichstraße 191
10117 Berlin
schmidt@trismile.de",17824718,220977,184,2016-09-08 18:15:05,de,AT
